calories,proteins,fat,carbohydrate,name,calories_norm,proteins_norm,fat_norm,carbo_norm
280.0,9.2,28.4,0.0,Abon,0.2978723404255319,0.1108433734939759,0.284,0.0
513.0,23.7,37.0,21.3,Abon haruwan,0.5457446808510639,0.2855421686746988,0.37,0.03292117465224111
0.0,0.0,0.2,0.0,Agar-agar,0.0,0.0,0.002,0.0
45.0,1.1,0.4,10.8,Akar tonjong segar,0.047872340425531915,0.013253012048192772,0.004,0.01669242658423493
37.0,4.4,0.5,3.8,Aletoge segar,0.039361702127659576,0.05301204819277109,0.005,0.0058732612055641415
85.0,0.9,6.5,7.7,Alpukat segar,0.09042553191489362,0.010843373493975905,0.065,0.011901081916537867
96.0,3.7,0.6,19.1,Ampas kacang hijau,0.1021276595744681,0.04457831325301205,0.006,0.029520865533230294
414.0,26.6,18.3,41.3,Ampas Tahu,0.44042553191489364,0.3204819277108434,0.18300000000000002,0.06383307573415764
75.0,4.1,2.1,10.7,Ampas tahu kukus,0.0797872340425532,0.04939759036144578,0.021,0.016537867078825347
67.0,5.0,2.1,8.1,Ampas tahu mentah,0.07127659574468086,0.060240963855421686,0.021,0.012519319938176197
184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar,0.19574468085106383,0.22650602409638557,0.14,0.0
174.0,19.6,10.0,0.0,Anak sapi daging kurus segar,0.1851063829787234,0.23614457831325303,0.1,0.0
190.0,19.1,12.0,0.0,Anak sapi daging sedang segar,0.2021276595744681,0.23012048192771087,0.12,0.0
99.0,4.6,1.0,18.0,Andaliman segar,0.10531914893617021,0.05542168674698795,0.01,0.027820710973724884
25.0,1.6,0.2,5.3,Andewi,0.026595744680851064,0.01927710843373494,0.002,0.008191653786707881
30.0,0.5,0.2,6.8,Anggur hutan segar,0.031914893617021274,0.006024096385542169,0.002,0.010510046367851623
354.0,16.4,31.5,0.0,Angsa,0.37659574468085105,0.19759036144578312,0.315,0.0
126.0,3.4,7.9,10.3,Anyang sayur,0.13404255319148936,0.04096385542168675,0.079,0.015919629057187017
58.0,0.3,0.4,14.9,Apel,0.06170212765957447,0.0036144578313253013,0.004,0.02302936630602782
57.0,0.5,0.4,12.8,Apel malang segar,0.06063829787234043,0.006024096385542169,0.004,0.019783616692426585
37.0,0.8,0.5,8.3,Arbei,0.039361702127659576,0.00963855421686747,0.005,0.012828438948995364
113.0,0.9,7.2,11.2,Ares sayur,0.12021276595744682,0.010843373493975905,0.07200000000000001,0.01731066460587326
102.0,1.0,0.2,24.1,Arrowroot segar,0.10851063829787234,0.012048192771084338,0.002,0.03724884080370943
277.0,2.4,25.0,10.7,Arwan sirsir,0.2946808510638298,0.02891566265060241,0.25,0.016537867078825347
75.0,0.2,1.1,16.1,Asam kandis segar,0.0797872340425532,0.0024096385542168677,0.011000000000000001,0.024884080370942814
239.0,2.8,0.6,62.5,Asam masak di pohon,0.2542553191489362,0.033734939759036145,0.006,0.09659969088098917
135.0,0.8,0.4,32.1,Asam payak segar,0.14361702127659576,0.00963855421686747,0.004,0.04961360123647605
261.0,0.9,1.6,63.3,Asan kandis kering,0.2776595744680851,0.010843373493975905,0.016,0.09783616692426583
98.0,3.9,2.6,14.8,Asinan Bogor sayuran,0.10425531914893617,0.046987951807228916,0.026000000000000002,0.02287480680061824
302.0,18.2,25.0,0.0,Ayam,0.32127659574468087,0.21927710843373494,0.25,0.0
297.0,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,0.3159574468085106,0.43253012048192774,0.152,0.002472952086553323
270.0,32.3,11.2,9.9,Ayam ampela goreng,0.2872340425531915,0.38915662650602406,0.11199999999999999,0.015301391035548687
75.0,13.8,1.9,0.7,Ayam dideh/darah segar,0.0797872340425532,0.16626506024096388,0.019,0.0010819165378670788
295.0,34.0,16.0,1.5,Ayam goreng church texa sayap,0.31382978723404253,0.4096385542168675,0.16,0.00231839258114374
338.0,35.2,20.6,0.4,Ayam goreng church texas dada,0.3595744680851064,0.4240963855421687,0.20600000000000002,0.0006182380216383308
275.0,37.4,12.2,1.3,Ayam goreng kalasan paha,0.2925531914893617,0.45060240963855425,0.122,0.002009273570324575
298.0,34.2,16.8,0.1,Ayam goreng kentucky dada,0.3170212765957447,0.4120481927710844,0.168,0.0001545595054095827
286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha,0.30425531914893617,0.3867469879518073,0.161,0.0017001545595054096
295.0,39.2,13.6,1.0,Ayam goreng mbok berek dada,0.31382978723404253,0.47228915662650606,0.136,0.0015455950540958269
287.0,31.0,15.7,1.7,Ayam goreng paha,0.30531914893617024,0.3734939759036145,0.157,0.0026275115919629057
246.0,37.9,9.0,0.7,Ayam goreng pasundan dada,0.26170212765957446,0.4566265060240964,0.09,0.0010819165378670788
245.0,33.1,11.4,0.3,Ayam goreng pasundan paha,0.26063829787234044,0.3987951807228916,0.114,0.00046367851622874804
295.0,37.4,14.7,0.6,Ayam goreng pioneer dada,0.31382978723404253,0.45060240963855425,0.147,0.0009273570324574961
244.0,36.7,9.2,1.0,Ayam goreng sukabumi dada,0.25957446808510637,0.4421686746987952,0.092,0.0015455950540958269
283.0,35.7,14.3,0.5,Ayam goreng sukabumi paha,0.30106382978723406,0.4301204819277109,0.14300000000000002,0.0007727975270479134
261.0,27.4,16.1,1.6,Ayam hati segar,0.2776595744680851,0.3301204819277108,0.161,0.002472952086553323
264.0,18.2,20.1,2.7,Ayam taliwang masakan,0.28085106382978725,0.21927710843373494,0.201,0.004173106646058733
473.0,45.2,26.3,13.9,Ayam usus goreng,0.5031914893617021,0.5445783132530121,0.263,0.021483771251931995
113.0,17.6,4.2,0.0,Babat,0.12021276595744682,0.21204819277108436,0.042,0.0
453.0,11.9,45.0,0.0,Babi daging gemuk segar,0.4819148936170213,0.14337349397590363,0.45,0.0
371.0,14.1,35.0,0.0,Babi daging kurus segar,0.3946808510638298,0.16987951807228915,0.35000000000000003,0.0
110.0,16.3,4.6,0.8,Babi ginjal segar,0.11702127659574468,0.1963855421686747,0.046,0.0012364760432766616
129.0,19.7,4.8,1.7,Babi hati segar,0.1372340425531915,0.23734939759036144,0.048,0.0026275115919629057
491.0,24.6,16.3,0.2,Babi hutan masak rica masakan,0.522340425531915,0.29638554216867474,0.163,0.0003091190108191654
102.9,3.3,2.7,16.3,Bacang,0.10946808510638299,0.03975903614457831,0.027000000000000003,0.02519319938176198
450.0,3.2,13.9,78.1,Bagea kelapa asin,0.4787234042553192,0.03855421686746988,0.139,0.12071097372488407
452.0,1.3,13.8,80.6,Bagea kelapa manis,0.48085106382978726,0.01566265060240964,0.138,0.12457496136012364
529.0,3.2,29.1,63.6,Bagea kenari asin,0.5627659574468086,0.03855421686746988,0.29100000000000004,0.0982998454404946
523.0,3.2,28.2,64.2,Bagea kenari manis,0.5563829787234043,0.03855421686746988,0.282,0.0992272024729521
416.0,6.5,9.4,76.3,Bagea kw 1,0.44255319148936173,0.0783132530120482,0.094,0.11792890262751159
